signature,collection,n_cohorts,mean_observed_auroc,mean_null_auroc,mean_advantage,n_cohorts_beating_null,frac_cohorts_beating_null,stouffer_z,stouffer_p,fdr_q,beats_null_fdr05
TCR_signaling_Pathway_Li_et_al,iobr,15,0.5655183634210206,0.4899988490944496,0.07551951432657114,6,0.4,7.257964638171701,1.964791215382557e-13,2.0040870396902084e-12,True
Chemokine_Receptors_Li_et_al,iobr,15,0.5590144313454082,0.4877366016306364,0.07127782971477194,8,0.5333333333333333,4.735443642277654,1.092882196482402e-06,3.7157994680401666e-06,True
TLS_Cabrita,canonical,15,0.5570087591375541,0.4923558838539359,0.06465287528361817,4,0.26666666666666666,3.235023720112387,0.0006081631278025443,0.0014426195124618492,True
Antimicrobials_Li_et_al,iobr,15,0.5559347428486592,0.4858217970988176,0.0701129457498415,11,0.7333333333333333,10.093836910862368,2.9412123618976274e-24,1.0000122030451933e-22,True
Interleukins_Li_et_al,iobr,15,0.5533310819436121,0.4878569801929358,0.06547410175067633,5,0.3333333333333333,3.940938741521441,4.058167670021865e-05,0.00010613669290826417,True
BCR_Signaling_Pathway_Li_et_al,iobr,14,0.5514727676875756,0.48981825350404185,0.06165451418353372,5,0.35714285714285715,5.179300396776038,1.1135978819178405e-07,4.543479358224789e-07,True
Interferon_Receptor_Li_et_al,iobr,14,0.5508650351204653,0.494660395168542,0.056204639951923215,2,0.14285714285714285,2.0132690239535225,0.022043167620104345,0.040150055308047196,True
Chemokines_Li_et_al,iobr,15,0.5508499997151284,0.48694081478499734,0.06390918493013102,5,0.3333333333333333,5.083831647182497,1.84947913764166e-07,6.98692118664627e-07,True
TNF_Family_Members_Li_et_al,iobr,14,0.5456704714513407,0.490798993546623,0.05487147790471774,4,0.2857142857142857,2.121052278701351,0.016958701614286843,0.03203310304920848,True
Co_stimulation_APC_Rooney_et_al,iobr,14,0.5431115752945898,0.49197735761508377,0.05113421767950604,4,0.2857142857142857,2.1905186950379067,0.014243320238884884,0.02793882046858189,True
EMT3,iobr,14,0.5428782761131192,0.5065499507099623,0.03632832540315678,4,0.2857142857142857,1.9708088916279072,0.024372869642338788,0.043614608833658884,True
Th2_cells_Bindea_et_al,iobr,14,0.5402094903648006,0.4906909019686153,0.04951858839618533,4,0.2857142857142857,3.0728794975760625,0.001060020389032521,0.002402712881807048,True
TFH_Bindea_et_al,iobr,15,0.5396944601004773,0.48910656975984634,0.05058789034063083,5,0.3333333333333333,3.1923794367003535,0.0007055291873580105,0.0016355449343299334,True
TMEscoreB_CIR,iobr,15,0.5386877317595286,0.5112314264256641,0.027456305333864464,3,0.2,4.552457682772252,2.65114142764399e-06,8.450513300615219e-06,True
TNF_Family_Members_Receptors_Li_et_al,iobr,15,0.5382143433228087,0.4899168882792615,0.048297455043547294,3,0.2,2.193854439724144,0.014122937821671348,0.02793882046858189,True
Ferroptosis,iobr,14,0.5364362899626869,0.4902459458334026,0.046190344129284286,5,0.35714285714285715,2.0191291643420968,0.021736898161454927,0.040150055308047196,True
EMT1,iobr,14,0.5358697684149986,0.5073574595846023,0.028512308830396127,1,0.07142857142857142,1.5277458570864078,0.06328782487241183,0.10086497089040636,False
EV_Cell_2020,iobr,14,0.5352497244569794,0.4910087861309588,0.0442409383260207,4,0.2857142857142857,2.7512404492717315,0.0029685023526430554,0.006442281701480674,True
Normal_mucosa_Bindea_et_al,iobr,15,0.5345877057161024,0.5112697155941117,0.0233179901219905,3,0.2,1.045369266015908,0.1479261677978671,0.21867346544032526,False
T_cell_accumulation_Peng_et_al,iobr,14,0.5343982301272142,0.4909341575288048,0.04346407259840938,3,0.21428571428571427,2.5328053788815192,0.005657687943306907,0.012022586879527179,True
NK_CD56dim_cells_Bindea_et_al,iobr,15,0.5317145793835697,0.4895319125903019,0.041472351608246236,2,0.13333333333333333,2.3069808290112537,0.010527944436756368,0.021477006650982993,True
DC_Bindea_et_al,iobr,14,0.5276733002194567,0.49203849260753074,0.03563480761192591,1,0.07142857142857142,1.6417505093183191,0.05032085967521953,0.08414307683397364,False
EMT2,iobr,14,0.5263607168409311,0.5085645724598875,0.01779614438104359,3,0.21428571428571427,0.5854547589794751,0.27912098905546145,0.39000466963913794,False
TGFb_Family_Member_Li_et_al,iobr,15,0.5247214063792165,0.5109494816918807,0.013771924687335816,4,0.26666666666666666,1.1854802566569471,0.11791380814068392,0.18223043076287512,False
