signature,mean_corr_with_gep,mean_auroc,is_reference
Th1_cells_Bindea_et_al,0.6605335537010263,0.5956296958819233,False
Th2_cells_Bindea_et_al,0.2009490498638993,0.5632286964503304,False
Treg_Rooney_et_al,-0.7030849737032507,0.3750346643664186,False
Type_II_IFN_Reponse_Rooney_et_al,0.10893766263815766,0.5312621515183552,False
Type_I_IFN_Reponse_Rooney_et_al,0.5999102979629278,0.600321142943528,False
WNT_target,0.27229604106710725,0.5428266370181015,False
aDC_Bindea_et_al,0.7660030873740586,0.6219878548924588,False
iDC_Bindea_et_al,0.42454383334575135,0.5286045099991695,False
pDCs_Rooney_et_al,0.7609739948897826,0.6013553230233837,False
Histones,0.04629395915418473,0.45685716540023996,False
