cohort,signature,method,auroc_raw,auroc_partialled,delta,corr_with_gep,corr_with_infiltration
Mariathasan,T_cell_inflamed_GEP_Ayers_et_al,ssgsea,0.6011799929552659,0.7390806622050018,0.13790066924973587,1.0,0.8956225854533849
Mariathasan,IFNG_6gene_Ayers,ssgsea,0.6474110602324762,0.7192673476576259,0.07185628742514971,0.9195523835823487,0.7506447497707972
Mariathasan,Cytolytic_Activity_Rooney_et_al,ssgsea,0.5972173300457908,0.6928495949277915,0.09563226488200072,0.9443091507929748,0.8782164555392269
Mariathasan,Chemokine12_Messina,ssgsea,0.5918457203240578,0.6887108136667841,0.0968650933427263,0.9236349786016739,0.892220254996371
Mariathasan,TLS_Cabrita,ssgsea,0.5017611835153223,0.4939239168721381,-0.007837266643184182,0.5930287930765458,0.7504374344186785
Mariathasan,TLS_12chemokine_Prabhakaran,ssgsea,0.5918457203240578,0.6887108136667841,0.0968650933427263,0.9236349786016739,0.892220254996371
Mariathasan,Roh_immune,ssgsea,0.5742338851708348,0.7018316308559351,0.1275977456851003,0.9559390031634608,0.9316366088426776
Mariathasan,MHC_I,ssgsea,0.5657802042972878,0.5486967241986614,-0.01708348009862637,0.7460495512909505,0.7292601079480381
Mariathasan,MHC_II,ssgsea,0.5129446988376188,0.5064283198309264,-0.006516379006692441,0.8229249060547973,0.8959694565453351
Mariathasan,PDL1_CD274,ssgsea,0.5946636139485735,0.6084008453680874,0.013737231419513884,0.7401322597579937,0.6498673746683017
Mariathasan,PDCD1,ssgsea,0.5851972525537161,0.6192321239873195,0.0340348714336034,0.8649849219808331,0.8089526617192078
Mariathasan,CTLA4,ssgsea,0.5527034166960197,0.5691264529764002,0.016423036280380443,0.8308962231633036,0.8490115480274094
Mariathasan,APM,ssgsea,0.5706234589644241,0.5640190207819655,-0.006604438182458594,0.7188995123276538,0.6813989922600691
Mariathasan,Antigen_Processing_and_Presentation_Li_et_al,ssgsea,0.541387812610074,0.5565339908418457,0.015146178231771779,0.855027471850844,0.8976552425132784
Mariathasan,Antimicrobials_Li_et_al,ssgsea,0.46345544205706235,0.40982740401549844,-0.05362803804156391,0.7769857593020497,0.8897856520775924
Mariathasan,BCR_Signaling_Pathway_Li_et_al,ssgsea,0.49982388164846775,0.4714688270517788,-0.028355054596688967,0.7077063269814422,0.854530804317536
Mariathasan,B_cells_Bindea_et_al,ssgsea,0.5804860866502289,0.5881472349418809,0.007661148291651987,0.6494926117426103,0.7055986225624308
Mariathasan,B_cells_Rooney_et_al,ssgsea,0.5489609017259598,0.5727368791828108,0.023775977456851005,0.6692441796245594,0.7617318474271434
Mariathasan,CAF_Peng_et_al,ssgsea,0.5678055653399084,0.5747622402254315,0.006956674885523095,-0.4874000643215536,-0.6346494945697997
Mariathasan,CD8_Rooney_et_al,ssgsea,0.605054596688975,0.7114300810144417,0.10637548432546673,0.95673500593942,0.8791871943598631
Mariathasan,CD8_T_cells_Bindea_et_al,ssgsea,0.5361042620641071,0.5070447340612891,-0.02905952800281797,0.6980413843523408,0.7861337480958376
