cohort,signature,method,auroc_raw,auroc_partialled,delta,corr_with_gep,corr_with_infiltration
Mariathasan,T_cell_inflamed_GEP_Ayers_et_al,mean_z,0.6008277562522015,0.6855406833392039,0.0847129270870024,1.0,0.8545703250485885
Mariathasan,IFNG_6gene_Ayers,mean_z,0.6337618879887285,0.7213807678760127,0.08761887988728423,0.9412947763964431,0.7662752481260262
Mariathasan,Cytolytic_Activity_Rooney_et_al,mean_z,0.6021486438886932,0.6808735470235998,0.07872490313490665,0.9202758845311333,0.8390937014313997
Mariathasan,Chemokine12_Messina,mean_z,0.5946636139485735,0.6737407537865445,0.07907713983797104,0.9430499116850024,0.860987528956554
Mariathasan,TLS_Cabrita,mean_z,0.5194610778443114,0.5142655864741106,-0.005195491370200811,0.6907073510647,0.7845562531965198
Mariathasan,TLS_12chemokine_Prabhakaran,mean_z,0.5946636139485735,0.6737407537865445,0.07907713983797104,0.9430499116850024,0.860987528956554
Mariathasan,Roh_immune,mean_z,0.5778443113772455,0.6590348714336034,0.08119056005635794,0.9721445344141818,0.8679101415912513
Mariathasan,MHC_I,mean_z,0.5894681225783727,0.626541035575907,0.037072912997534346,0.854569125289424,0.6908704273800196
Mariathasan,MHC_II,mean_z,0.5275625220147939,0.5425325818950335,0.014970059880239583,0.8772808741332125,0.8535904150411174
Mariathasan,PDL1_CD274,mean_z,0.5876188798872842,0.628830574145826,0.041211694258541764,0.8081043147524859,0.7070484698361217
Mariathasan,PDCD1,mean_z,0.5818950334624868,0.6108665022895385,0.028971468827051705,0.8378117064747347,0.7612144610771139
Mariathasan,CTLA4,mean_z,0.5538922155688623,0.5598802395209581,0.005988023952095856,0.8414221548734092,0.795069142345146
Mariathasan,APM,mean_z,0.602765058119056,0.634202183867559,0.03143712574850299,0.8348208257259702,0.6490671445074131
Mariathasan,Antigen_Processing_and_Presentation_Li_et_al,mean_z,0.6017083480098626,0.6231067277210285,0.02139837971116587,0.81624362368177,0.5815972966688332
Mariathasan,Antimicrobials_Li_et_al,mean_z,0.5063402606551602,0.5092462134554421,0.0029059528002818302,0.7955848898012879,0.6777632489832786
Mariathasan,BCR_Signaling_Pathway_Li_et_al,mean_z,0.5300281789362452,0.5258893976752378,-0.004138781261007418,0.7343607695473692,0.6022399714284666
Mariathasan,B_cells_Bindea_et_al,mean_z,0.5572384642479746,0.5638429024304332,0.006604438182458594,0.7484827979145433,0.735908047048047
Mariathasan,B_cells_Rooney_et_al,mean_z,0.5445579429376541,0.5664846777034167,0.021926734765762568,0.7257818327439018,0.7749042897642046
Mariathasan,CAF_Peng_et_al,mean_z,0.542180345191969,0.5470235998591053,0.00484325466713631,-0.5458635266770286,-0.5845367170352519
Mariathasan,CD8_Rooney_et_al,mean_z,0.6181754138781261,0.7120464952448045,0.09387108136667832,0.918520242012236,0.818359038699514
Mariathasan,CD8_T_cells_Bindea_et_al,mean_z,0.5398027474462839,0.5328460725607609,-0.006956674885522984,0.5936305869048165,0.3805709999375607
