quantity,auroc,optimism_gap_vs_transferable
best_signature_selected_in_cohort,0.764469933262083,0.16265369394584372
within_cohort_cv_panel,0.6218944734765663,0.020078234160327058
transferable_ceiling_gep_axis,0.6018162393162393,0.0
transferable_full_panel,0.564025403608737,-0.0377908357075023
