signature,label,collection,n_genes,direction,pmid,reference,upstream_source,gene_set_key
Co_inhibition_T_cell_Rooney_et_al,Co inhibition T cell Rooney et al,iobr,10,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,a3587d28c915b50c
Co_stimulation_APC_Rooney_et_al,Co stimulation APC Rooney et al,iobr,11,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,c77686e812e65ecb
Co_stimulation_T_cell_Rooney_et_al,Co stimulation T cell Rooney et al,iobr,13,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,90dcfedf33e03303
Cytokine_Receptors_Li_et_al,Cytokine Receptors Li et al,iobr,294,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,36c333df5f193b9b
Cytokines_Li_et_al,Cytokines Li et al,iobr,428,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,e38837deb1098754
Cytotoxic_cells_Bindea_et_al,Cytotoxic cells Bindea et al,iobr,17,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,24b90afaf3878322
DC_Bindea_et_al,DC Bindea et al,iobr,7,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,ae63dfd0ad09cfa4
DDR,DDR,iobr,166,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,9396fe8f211d8365
EMT1,EMT1,iobr,8,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,69689992753d26b2
EMT2,EMT2,iobr,7,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,ea02b1a34a2c45e3
EMT3,EMT3,iobr,6,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,03f6e6ebccf41fb9
EV_Cell_2020,EV Cell 2020,iobr,23,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,0293a1fd8aa4bd2d
Eosinophils_Bindea_et_al,Eosinophils Bindea et al,iobr,32,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,49b879624ee0d5ca
Exhausted_CD8_Danaher_et_al,Exhausted CD8 Danaher et al,iobr,4,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,4b9edfbcf3627ba3
Ferroptosis,Ferroptosis,iobr,32,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,f074875a2cf1768c
GPAGs,GPAGs,iobr,30,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,1df845a4ba72cca3
Histones,Histones,iobr,4,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,4b21c4f3088b18a5
Homologous_recombination,Homologous recombination,iobr,28,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,49d5f058fb2041ab
ICB_resistance_Peng_et_al,ICB resistance Peng et al,iobr,50,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,81473c1417e3cca4
